t,acc
8.56,-7.17E-02
8.57,-8.89E-02
8.58,-7.82E-02
8.59,-7.37E-02
8.6,-7.20E-02
8.61,-5.15E-02
8.62,-4.59E-02
8.63,-5.94E-02
8.64,-8.34E-02
8.65,-8.24E-02
8.66,-6.13E-02
8.67,-6.64E-02
8.68,-7.66E-02
8.69,-6.70E-02
8.7,-6.03E-02
8.71,-5.81E-02
8.72,-6.52E-02
8.73,-8.20E-02
8.74,-6.84E-02
8.75,-7.66E-02
8.76,-8.15E-02
8.77,-5.18E-02
8.78,-7.12E-02
8.79,-7.39E-02
8.8,-5.02E-02
8.81,-6.65E-02
8.82,-8.46E-02
8.83,-7.75E-02
8.84,-6.79E-02
8.85,-5.45E-02
8.86,-4.33E-02
8.87,-7.68E-02
8.88,-7.92E-02
8.89,-8.04E-02
8.9,-1.09E-01
8.91,-5.79E-02
8.92,-1.49E-02
8.93,-2.01E-02
8.94,-7.05E-02
8.95,-1.35E-01
8.96,-1.07E-01
8.97,-7.30E-02
8.98,-4.38E-02
8.99,-1.17E-02
9,-5.92E-02
9.01,-8.51E-02
9.02,-1.04E-01
9.03,-1.12E-01
9.04,-3.84E-02
9.05,-4.92E-02
9.06,-6.21E-02
9.07,-3.73E-02
9.08,-7.31E-02
9.09,-7.48E-02
9.1,-1.09E-01
9.11,-1.09E-01
9.12,-4.09E-02
9.13,-3.85E-02
9.14,-4.20E-02
9.15,-6.20E-02
9.16,-1.02E-01
9.17,-9.30E-02
9.18,-8.07E-02
9.19,-6.03E-02
9.2,-2.09E-02
9.21,-5.28E-02
9.22,-9.63E-02
9.23,-9.09E-02
9.24,-6.95E-02
9.25,-5.07E-02
9.26,-5.74E-02
9.27,-5.50E-02
9.28,-7.87E-02
9.29,-9.73E-02
9.3,-6.87E-02
9.31,-6.33E-02
9.32,-5.71E-02
9.33,-6.66E-02
9.34,-7.15E-02
9.35,-4.31E-02
9.36,-6.94E-02
9.37,-9.73E-02
9.38,-9.71E-02
9.39,-6.77E-02
9.4,-4.12E-02
9.41,-7.08E-02
9.42,-4.18E-02
9.43,-5.82E-02
9.44,-1.09E-01
9.45,-7.46E-02
9.46,-6.93E-02
9.47,-6.27E-02
9.48,-7.31E-02
9.49,-7.59E-02
9.5,-4.04E-02
9.51,-7.95E-02
9.52,-9.44E-02
9.53,-4.54E-02
9.54,-3.52E-02
9.55,-6.31E-02
9.56,-9.66E-02
9.57,-1.02E-01
9.58,-7.55E-02
9.59,-5.42E-02
9.6,-4.65E-02
9.61,-4.61E-02
9.62,-6.49E-02
9.63,-8.89E-02
9.64,-9.03E-02
9.65,-8.87E-02
9.66,-7.05E-02
9.67,-4.69E-02
9.68,-6.34E-02
9.69,-5.87E-02
9.7,-5.04E-02
9.71,-8.77E-02
9.72,-9.37E-02
9.73,-8.15E-02
9.74,-7.07E-02
9.75,-4.74E-02
9.76,-7.11E-02
9.77,-7.47E-02
9.78,-4.94E-02
9.79,-5.81E-02
9.8,-6.61E-02
9.81,-8.44E-02
9.82,-8.16E-02
9.83,-6.89E-02
9.84,-6.37E-02
9.85,-5.67E-02
9.86,-7.62E-02
9.87,-8.30E-02
9.88,-7.11E-02
9.89,-5.59E-02
9.9,-6.18E-02
9.91,-8.62E-02
9.92,-7.33E-02
9.93,-4.08E-02
9.94,-6.34E-02
9.95,-1.00E-01
9.96,-6.32E-02
9.97,-5.73E-02
9.98,-8.17E-02
9.99,-5.91E-02
10,-7.43E-02
10.01,-8.00E-02
10.02,-6.33E-02
10.03,-7.21E-02
10.04,-5.75E-02
10.05,-7.82E-02
10.06,-9.63E-02
10.07,-4.74E-02
10.08,-5.50E-02
10.09,-8.01E-02
10.1,-6.29E-02
10.11,-8.25E-02
10.12,-8.01E-02
10.13,-5.56E-02
10.14,-4.73E-02
10.15,-4.90E-02
10.16,-9.74E-02
10.17,-8.92E-02
10.18,-5.92E-02
10.19,-7.21E-02
10.2,-5.00E-02
10.21,-6.35E-02
10.22,-8.72E-02
10.23,-7.59E-02
10.24,-6.17E-02
10.25,-5.51E-02
10.26,-9.15E-02
10.27,-9.37E-02
10.28,-7.85E-02
10.29,-6.11E-02
10.3,-2.27E-02
10.31,-7.94E-02
10.32,-1.08E-01
10.33,-6.29E-02
10.34,-5.82E-02
10.35,-5.24E-02
10.36,-6.96E-02
10.37,-7.66E-02
10.38,-7.32E-02
10.39,-1.00E-01
10.4,-6.09E-02
10.41,-3.15E-02
10.42,-6.79E-02
10.43,-6.23E-02
10.44,-5.67E-02
10.45,-8.50E-02
10.46,-9.96E-02
10.47,-7.83E-02
10.48,-6.76E-02
10.49,-7.44E-02
10.5,-2.90E-02
